,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
192,D:\Z - Saved SQL Databases\44OP-218333 HCA Leander FSED\JobDB.mdf,1,1,1,9,0,0,0,0,0,0,83,
193,D:\Z - Saved SQL Databases\44OP-257359 BTX4-BAU-Baylor Waco Hall ADA\JobDB.mdf,3,3,3,3,1,0,0,0,0,0,3,
194,D:\Z - Saved SQL Databases\44OP-243177_VA_ITC_Chiller_Plant\JobDB.mdf,105,5,7,58,106,2,16,0,0,0,301,
195,D:\Z - Saved SQL Databases\44OP-237947_SDGH_Rehab_Relo\JobDB.mdf,6,2,2,6,5,0,0,0,0,0,35,
196,D:\Z - Saved SQL Databases\No_Name_9\JobDB.mdf,17,3,7,13,3,4,0,0,0,0,35,
197,D:\Z - Saved SQL Databases\44OP-245029_TFC_TCEQ\JobDB.mdf,13,4,5,13,1,1,0,0,0,0,13,
198,D:\Z - Saved SQL Databases\44OP-233491 SDMC 32nd North Tower Vertical Expansion\JobDB.mdf,30,3,8,25,77,1,0,0,0,0,170,
199,D:\Z - Saved SQL Databases\44OP-212618_SDMC_ENDOSCOPY\JobDB.mdf,22,2,4,16,9,0,0,0,0,0,97,
200,D:\Z - Saved SQL Databases\44OP-255456 GARDNER BETTS BAS SYSTEM UPGRADE\JobDB.mdf,73,3,7,73,66,3,0,0,0,0,323,
201,D:\Z - Saved SQL Databases\44OP-237829_BSS_AUS_Seton_HL_EDExp\JobDB.mdf,16,2,2,11,20,0,0,0,0,0,63,
202,D:\Z - Saved SQL Databases\44OP-240467_TFC_WPH_VAV_Replacement\JobDB.mdf,78,3,12,71,19,76,0,0,0,0,308,
203,D:\Z - Saved SQL Databases\44OP-250900_401_Congress_27th_Floor\JobDB.mdf,2,2,2,2,0,0,0,0,0,0,2,
204,D:\Z - Saved SQL Databases\44OP-236997_Cerilliant_BAS_Retrofit\JobDB.mdf,9,1,5,31,0,0,0,0,0,0,42,
205,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_Repl_DM2016\JobDB.mdf,96,5,5,66,174,1,2,0,0,0,983,
206,D:\Z - Saved SQL Databases\44OP-248386_NAMC_DA_Tank\JobDB.mdf,14,2,8,14,22,0,0,0,0,0,28,
207,D:\Z - Saved SQL Databases\44OP-212314_TXSU_Eng_Science\JobDB.mdf,32,4,6,25,6,44,18,0,0,0,95,
208,D:\Z - Saved SQL Databases\44OP-223503_St_Davids_Surgery_Center\JobDB.mdf,71,4,4,52,26,7,6,0,0,0,138,
209,D:\Z - Saved SQL Databases\44OP-246430_TFC_HHSC_BLDG_K\JobDB.mdf,1,1,1,4,0,0,0,0,0,0,20,
210,D:\Z - Saved SQL Databases\44OP-255709_TFC_WPC_AHU_Replacement\JobDB.mdf,90,4,27,62,165,12,22,0,0,0,1058,
211,D:\Z - Saved SQL Databases\44OP-215972_ACC_RoundRock\JobDB.mdf,157,3,5,109,177,9,0,0,0,0,615,
212,D:\Z - Saved SQL Databases\44OP-260716_TXST Cogen Central Plant CH-4\JobDB.mdf,71,5,9,50,70,83,2,0,0,0,162,
213,D:\Z - Saved SQL Databases\44OP-239338_ACC_Bond_Rio_Grande_Retro\JobDB.mdf,103,3,10,90,14,248,0,0,0,0,853,
214,D:\Z - Saved SQL Databases\44OP-249604_TXSU_Alkek_AHU_Modifications\JobDB.mdf,70,4,3,66,188,2,0,0,0,0,380,
215,D:\Z - Saved SQL Databases\44OP-250965_Courtyard_Marriott_Kitchen_MAU_Retrofit\JobDB.mdf,3,1,3,3,0,0,0,0,0,0,3,
216,D:\Z - Saved SQL Databases\44OP-245351_Gardner_Betts_AHU_5_7-Chase\JobDB.mdf,2,2,2,13,12,0,0,0,0,0,31,
217,D:\Z - Saved SQL Databases\44OP-224233 DCMC Behavioral Health\JobDB.mdf,18,1,1,18,0,0,0,0,0,0,18,
218,D:\Z - Saved SQL Databases\44OP-263957 TXSU Theater Reno\JobDB.mdf,58,3,3,37,11,6,0,0,0,0,285,
219,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_AHU_Rplmnt\JobDB.mdf,108,2,19,95,202,0,0,0,0,0,1124,
220,D:\Z - Saved SQL Databases\44OP-259693_Seton_SW_OAHU\JobDB.mdf,24,4,9,22,66,2,0,0,0,0,220,
221,D:\Z - Saved SQL Databases\44OP-263047_UT_EERC_Vibration\JobDB.mdf,12,2,3,16,10,0,0,0,0,0,26,
222,D:\Z - Saved SQL Databases\44OP-243013_St_Davids_CC_Expansion\JobDB.mdf,1,1,1,1,0,0,0,0,0,0,1,
223,D:\Z - Saved SQL Databases\44OP-236582_TFC_WPC_Garage\JobDB.mdf,2,2,2,2,0,0,0,0,0,0,2,
224,D:\Z - Saved SQL Databases\44OP-260593_HCA_NWMC_ED_AHU\JobDB.mdf,6,2,4,7,13,0,0,0,0,0,44,
225,D:\Z - Saved SQL Databases\44OP-246728_TXSU_Chemistry_Bldg_Reno\JobDB.mdf,7,2,7,7,1,0,0,0,0,0,7,
226,D:\Z - Saved SQL Databases\44OP-244688-BSP_Cerilliant_Synthesis_Lab\JobDB.mdf,48,5,10,47,55,1,1,0,0,0,163,
227,D:\Z - Saved SQL Databases\44OP-241086_EERC_Freeman_Reno\JobDB.mdf,18,2,6,18,10,0,0,0,0,0,18,
228,D:\Z - Saved SQL Databases\44OP-262509-Baylor_Goebel_Lab_2018_renovation\JobDB.mdf,5,2,3,5,3,0,0,0,0,0,19,
229,D:\Z - Saved SQL Databases\44OP-245797_NAMC_Outpatient_Imaging\JobDB.mdf,15,1,13,15,0,0,0,0,0,0,15,
230,D:\Z - Saved SQL Databases\44OP-253849_TFC_SHB_RM140\JobDB.mdf,4,2,2,2,19,0,0,0,0,0,44,
231,D:\Z - Saved SQL Databases\44OP-235919_MCC_Central_Plant\JobDB.mdf,92,5,9,65,200,4,1,7,0,0,246,
232,D:\Z - Saved SQL Databases\44OP-245597_JH_Winters_AHU_Reno\JobDB.mdf,55,3,8,54,173,6,0,0,0,0,435,
233,D:\Z - Saved SQL Databases\44OP-247050_GW23_Google_IV_14_20_21\JobDB.mdf,6,1,6,6,0,0,0,0,0,0,46,
234,D:\Z - Saved SQL Databases\_old_44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,26,2,2,16,3,0,0,0,0,0,129,
235,D:\Z - Saved SQL Databases\44OP-260186_Seton_HL_Chiller\JobDB.mdf,13,4,7,17,28,4,1,0,0,0,34,
236,D:\Z - Saved SQL Databases\44OP-228664_UT_Welch_Hall_Reno\JobDB.mdf,156,3,4,137,141,16,0,0,0,0,843,
237,D:\Z - Saved SQL Databases\44OP-213878_TXSU_HP1\JobDB.mdf,91,5,12,101,162,149,33,5,0,0,792,
238,D:\Z - Saved SQL Databases\44OP-221756_ACC_Hayes_Ph2\JobDB.mdf,44,2,4,41,12,0,0,0,0,0,52,
239,D:\Z - Saved SQL Databases\44OP-231541_MTEM_2017\JobDB.mdf,90,4,14,89,106,2,0,0,0,0,743,
240,D:\Z - Saved SQL Databases\44OP-260688_HCA_NWMC_Boiler_Rep\JobDB.mdf,8,1,8,6,0,0,0,0,0,0,32,
241,D:\Z - Saved SQL Databases\44OP-245696_TXSU_LBJ_Student_Center_Expansion\JobDB.mdf,22,4,8,26,40,2,0,0,0,0,174,
242,D:\Z - Saved SQL Databases\44OP-237860_Intel_AN4_AVC_Lab\JobDB.mdf,16,2,9,16,1,0,0,0,0,0,31,
243,D:\Z - Saved SQL Databases\44OP-223240 GW23 Flower Child\JobDB.mdf,10,1,10,10,0,0,0,0,0,0,10,
244,D:\Z - Saved SQL Databases\44OP-237617_GW23_Google_Phase_3_21_23\JobDB.mdf,39,4,7,28,84,2,0,0,0,0,129,
245,D:\Z - Saved SQL Databases\44OP-220099_TAMU_CT_Bldg3\JobDB.mdf,81,3,5,47,111,45,0,0,0,0,441,
246,D:\Z - Saved SQL Databases\44OP-234662_MTEM_AHU-9_FF\JobDB.mdf,4,2,2,4,3,0,0,0,0,0,50,
247,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_DOAU_REPLACEMENT\JobDB.mdf,76,2,2,38,75,0,0,0,0,0,297,
248,D:\Z - Saved SQL Databases\44OP-246935_ACC_Highland_Mall_Garage\JobDB.mdf,2,1,2,1,0,0,0,0,0,0,14,
249,D:\Z - Saved SQL Databases\44OP-258960_Seton_Luling_RTU-5\JobDB.mdf,14,2,2,14,5,0,0,0,0,0,14,
250,D:\Z - Saved SQL Databases\44OP-258957_TXSU_FCS_Vivarium\JobDB.mdf,23,2,7,21,8,0,0,0,0,0,42,
251,D:\Z - Saved SQL Databases\44OP-214947_TFC_WPC_Elevator_DM_CO3\JobDB.mdf,9,4,3,10,2,1,0,0,0,0,35,
252,D:\Z - Saved SQL Databases\44OP-215972_ACC_RoundRock_OLD\JobDB.mdf,105,3,3,73,177,9,0,0,0,0,615,
253,D:\Z - Saved SQL Databases\44OP-259329-TFC_DROC_2018_DM\JobDB.mdf,2,1,2,5,0,0,0,0,0,0,18,
254,D:\Z - Saved SQL Databases\44OP-232590_ACC_Highland_Phase_II\JobDB.mdf,166,3,4,118,437,28,0,0,0,0,1042,
255,D:\Z - Saved SQL Databases\44OP-226688 GW23 North Italia\JobDB.mdf,3,1,3,11,0,0,0,0,0,0,16,
